walkerId,firstService,returnFromLoss,returnFromPassive,retained
2fbe72ff-7d56-441f-832f-88fd47e66e1d,4,1,0,15
54e7ee29-deef-4ece-8ce8-19abb58d2e20,9,0,0,15
a381af50-31b1-4229-8bb1-29fec583e9b9,1,0,0,2
02f0fb5c-1f5d-4518-a228-3396d5406d39,7,0,2,11
20a49d67-92b3-42d6-8e82-f2b7bd307501,1,3,0,1
deb55abf-ad1b-45fe-8073-e701e9275258,2,0,0,2
31472bf8-fb72-48ac-b44e-1eaf0d2da223,1,0,5,5
b5ee60a9-4706-48dd-ada6-f65acd41616d,1,2,0,5
5b212b9e-9560-47af-936e-c84364201466,8,1,0,8
96a84d46-4c33-4b11-b347-4f9858eeadbb,7,0,0,78
14c9c390-34ad-440b-807b-c2568267673b,5,0,0,6
4980b912-7738-4c3b-82b1-00ffa44784bb,6,0,0,9
c73787e6-73e2-448a-89db-b3137f46b82d,2,0,0,2
8176a1e3-c524-4938-aaab-31309bb8c23c,2,0,4,8
244818e0-34a4-4090-8c7e-fa3999acfd7b,16,0,0,60
2f527376-a8d8-46f1-976b-04e0c02ce06f,27,0,0,27
bd056b3e-6c15-4179-b5d1-0dd68ae17c59,4,1,0,4
5f3188f2-94b4-4b1f-a99f-7eaf6912027e,1,0,0,4
97db9063-3548-4c29-baac-dcba8cd14791,9,0,0,11
e5612707-152d-498b-b883-2b71a98b6567,1,0,0,1
2cebc301-6f8e-4d3f-a671-e15a28c247dc,40,0,0,71
47be8fae-5d19-457a-8242-3affc09bc249,12,0,0,12
371b7955-023b-4225-a8ea-da3f9b720ab6,10,0,0,10
9de96771-1ed7-426e-807c-0b15e1986388,5,0,0,14
dd5345fb-546b-4575-be4f-d2ecdfa804c8,2,0,0,2
dc91a9d6-d14d-4db6-a5b7-cc5b0aafca90,6,0,0,6
ac40ca52-b4d9-4cde-9c2e-d489c58554e7,4,0,0,21
7f81ee9c-3365-4ae0-8efd-f45ba579d937,26,6,0,40
2951a08c-6d45-4c6f-9d80-faa48357c1fd,1,0,2,2
5b3787be-df17-4c38-b7bc-937f1fe3de50,4,0,4,7
95168559-6d1a-4352-a974-043198e40e38,5,0,0,24
5c55f242-bd2f-48a1-a329-8cc69ca62ef5,21,1,2,34
e7efc165-35d8-4fc5-b541-589723e203c4,4,0,0,34
050965e8-fc56-4bb6-968a-e570b7d0d6e6,1,0,4,20
1a997b08-8c03-4970-a63c-faeebddd0539,7,0,0,114
536e6742-ea9a-49fc-b1a6-fce69209b837,2,0,0,2
f0ad9efe-ea3e-4f31-b5ca-3785355f82c9,3,0,0,3
4e38caab-ac25-4bdd-9cb4-f5201ca701b4,9,0,0,9
d610eb34-836a-4c5a-b5e3-ee81f1e803e4,16,1,0,30
95b6c6b4-84bd-4d6c-b726-3d28c75cd24a,4,0,0,4
9626211d-633c-4b89-93c3-4981a4125cb3,1,2,0,0
92812df5-f6da-49ba-a475-1e2b89d3e967,6,0,0,11
93e45e2a-31ba-439e-8bfe-28316b18ff4e,3,0,0,3
d5a80cb2-6aeb-4cde-a863-2dfa8c49a6af,21,0,0,29
49bf20e7-c112-449f-8bbc-5f7a092bdc2c,4,0,0,4
4865cac3-f76d-40cc-9f73-0a5858859211,10,0,0,10
acefa22d-5e34-4de3-b46e-735dcfd4c193,8,1,1,8
075cfcf2-5ea9-4cd9-ab83-27d4b1a940c6,14,0,0,14
48ea826e-fb59-40e6-8777-76fa6600140d,6,0,8,19
fc597c8e-65bc-48f6-b5d9-b372238cd94d,1,4,0,0
5c3ab514-5c3f-442e-9958-9f1f3b4d9402,8,4,0,8
2ca0f63e-16f1-44d6-9b82-2c24977581e4,2,1,0,10
c33a8514-1ed0-4bfc-9c76-a8cd4691bd42,16,0,0,16
8a6debfe-e9f9-4212-9585-413dab8c2535,7,0,0,7
de6ac600-62bf-435d-9b19-3638ae81b4fd,12,0,0,12
a8a1f79d-02a5-46b0-8423-f4d04af003ce,1,0,0,1
ca31576e-775c-4bcc-9c06-80a277ce86c7,2,0,0,2
dde9c0b5-2489-40e9-b750-5502efb01330,1,8,1,28
0e479e14-cc46-4ebc-a0a3-8559e1ec44af,1,3,13,13
429c6f8a-a354-4611-a85b-241f551dc2a5,1,0,0,1
5ee69b19-4137-4901-86e5-2a7dacf1a47f,2,1,0,2
6258bfe5-1242-49c0-99ed-487b5c6c9d59,8,0,0,8
e66c5aa6-1b79-4d30-8306-624d78178c8d,6,0,1,6
2420d9e5-30b5-4059-b952-3130e8bdff7e,3,1,0,3
933ca575-34b9-4c49-b58e-e9ef2d67cdbb,4,1,2,5
674470c8-554b-42d9-a460-9970930612da,1,0,7,15
baca70ef-a466-4926-aa83-466d9798b448,8,0,0,8
27ed974e-8893-4d8e-8d76-d479109157f3,4,0,0,6
70cc0f2c-1df4-4054-994f-9464dc319991,2,3,2,7
602351c8-f49a-4b18-83bc-c5a7b3da7b84,4,0,0,4
45123277-db42-40e5-b0ca-75c1902ff1c0,13,0,0,13
8332bd11-6da1-452c-98fd-e16a3e4fdc8d,8,0,0,23
27a44d26-4979-490e-bca4-34a1f9fc284b,1,0,7,6
01b0fb51-4461-4638-95a5-8fc8c0ef1c9d,1,0,0,1
6e69f616-4e13-49ba-a1b3-905ef0a59811,3,8,4,8
d5f635b2-4823-4afb-b6d3-914db8bb2245,20,0,0,42
fde176dc-7f6b-408f-8c3e-6835b651d5ba,3,1,11,20
87b68e09-906f-4afa-9cac-c6fdf2697eae,8,0,0,8
cb2d8112-1069-4ba8-ba25-78b91cfbd06a,7,0,0,20
2d3a7948-946c-4f20-93b7-c9ed88aca6c4,8,0,0,8
a3b9ce30-3595-4d8f-a315-33067ec3f0cd,1,0,0,1
ecb32aa1-e3bf-4b09-ab40-68229826bc3a,18,0,0,20
899b5c2c-2c89-44d0-acda-7398adba2945,3,0,0,3
0d94b9d5-c984-4542-99a7-998ef79c018e,1,1,2,3
68f386cd-395f-46db-af89-6ab9d2a85c91,1,1,0,1
b6614d2f-8b1f-4836-8c11-622cdc042d00,1,1,0,1
a232aae2-fa98-4c38-985e-6a9f5b7fe2a5,1,4,0,1
e079dfc7-277d-43c5-a977-c15a89e67921,2,3,0,2
7850a21f-aebf-4ee4-8d10-299587426e85,1,0,0,1
463b197d-8119-4433-96dc-e8f480297ad8,3,0,0,3
4dbbc585-6d6f-411b-87e3-70b9f43fae9d,8,0,0,8
4deeeed4-4bac-43c6-bc61-d4a6e206ab3a,1,0,7,6
3b9dd56b-d9b3-4f2a-a36c-f881e0a58282,2,1,0,2
264df1ac-7417-42ce-a9fa-4f4d09589cc8,2,1,0,2
1d6fa0dc-ae41-4e8b-b22e-a46b79e49b95,3,0,0,18
ebc5d21e-ea7d-4ca2-bb2d-8ba9cbc8e1dc,2,0,3,4
b9a7fe66-ae11-4b3d-8802-6a06d3b2c24e,1,0,0,1
d838cf89-9dfa-4974-a919-696dbf5a0e37,9,0,0,18
0df16988-64a9-4a2c-8319-5a18b5ec1172,10,0,0,16
44341a1d-3f88-4217-afb1-380ed392a16f,2,0,0,3
88571943-49eb-46fd-8631-9101bd3acc13,5,0,0,7
cd93999f-f196-47cb-b644-949fd716e1af,1,8,10,10
c868dc5b-1ec2-4672-bdff-08ab30036f7f,2,6,0,2
0e2fcccf-5927-457f-97ad-4bbce5c9f12e,3,0,0,7
57359006-3d72-4044-a128-7e5832b5455c,2,0,0,2
aaede24a-31ef-4e83-af65-9c0283a8fc2a,1,0,1,6
6566e443-ca95-4022-8ca6-0dd030b2179a,7,0,0,23
c9c46e85-15a8-4e23-95ac-ad5954409cd3,10,0,0,10
27ed68ea-9ddc-456c-bac8-760210546f0e,2,1,0,2
bd4efd57-2ac2-410a-9162-fe7afc40ca11,3,0,0,3
7d7c0c41-0fbb-41c7-98af-2e89574b075a,1,0,0,1
739f3063-d0f5-49c2-a1e8-84c4dad47196,12,0,0,40
7fc3acda-b17a-44ea-92d8-066cbe114b9e,1,0,0,1
5ffc59a1-71ba-48d6-badf-b5b3ebbb870c,2,1,1,2
1baabb17-c8f2-4561-875d-cac9edc2270d,4,0,0,12
b7348815-2283-4786-abb9-6ba9661b109b,21,0,0,26
